Block Number,Trial Number,Eye,Position,Detection
2,128,Left,"(-564, -218)",1
2,129,Left,"(-216, -121)",1
2,130,Left,"(-427, 138)",1
2,131,Left,"(-329, 111)",1
2,132,Left,"(-437, 318)",1
2,133,Left,"(-537, -257)",1
2,134,Left,"(-305, 0)",1
2,135,Left,"(-651, -284)",1
2,136,Left,"(-237, -160)",1
2,137,Left,"(-652, 51)",1
2,138,Left,"(-609, -173)",1
2,139,Left,"(-10, 299)",1
2,140,Left,"(-423, 70)",0
2,141,Left,"(-318, 343)",1
2,142,Left,"(-493, -243)",1
2,143,Left,"(-589, -265)",1
2,144,Left,"(-727, -172)",1
2,145,Left,"(-679, 197)",1
2,146,Left,"(-292, -177)",1
2,147,Left,"(-82, -191)",1
2,148,Left,"(-748, 123)",1
2,149,Left,"(-434, 73)",0
2,150,Left,"(-82, 218)",1
2,151,Left,"(-267, -7)",1
2,152,Left,"(-183, -54)",1
2,153,Left,"(-19, -245)",1
2,154,Left,"(-498, 266)",1
2,155,Left,"(-248, 180)",1
2,156,Left,"(-411, -317)",1
2,157,Left,"(-717, -126)",1
2,158,Left,"(-644, -219)",1
2,159,Left,"(-700, -330)",1
2,160,Left,"(-694, -40)",1
2,161,Left,"(-514, -172)",1
2,162,Left,"(-210, 227)",1
2,163,Left,"(-750, 13)",1
2,164,Left,"(-608, 265)",1
2,165,Left,"(-50, -163)",1
2,166,Left,"(-736, -225)",1
2,167,Left,"(-212, 256)",1
2,168,Left,"(-339, 333)",1
2,169,Left,"(-646, 190)",1
2,170,Left,"(-15, -249)",1
2,171,Left,"(-61, 56)",1
2,172,Left,"(-344, -284)",1
2,173,Left,"(-372, 342)",1
2,174,Left,"(-510, -128)",1
2,175,Left,"(-404, 235)",1
2,176,Left,"(-53, -271)",1
2,177,Left,"(-717, -201)",1
2,178,Left,"(-91, -27)",1
2,179,Left,"(-752, -40)",1
2,180,Left,"(-491, 14)",0
2,181,Left,"(-244, -95)",1
2,182,Left,"(-644, -238)",1
2,183,Left,"(-238, -223)",1
2,184,Left,"(-555, -34)",0
2,185,Left,"(-759, -340)",1
2,186,Left,"(-289, -10)",1
2,187,Left,"(-516, -332)",1
2,188,Left,"(-418, 307)",1
2,189,Left,"(-387, -161)",1
2,190,Left,"(-594, 28)",1
2,191,Left,"(-612, 115)",1
2,192,Left,"(-27, -214)",1
2,193,Left,"(-222, -314)",1
2,194,Left,"(-181, 330)",1
2,195,Left,"(-560, 38)",1
2,196,Left,"(-308, 213)",1
2,197,Left,"(-60, -172)",1
2,198,Left,"(-490, -75)",1
2,199,Left,"(-308, -158)",1
2,200,Left,"(-225, 249)",1
